# 短对话扫描v2 — 全阶段  (diff=关)
# D1二字崩 D2短对白 D3问句句号 D4引号内多句 D5短句接龙 D6零间隔对话 N1短句三连 N2电报超短句 N3电报连发
# 汇总: {'D1': 121, 'D2': 280, 'D3': 66, 'D4': 132, 'D5': 150, 'D6': 297, 'N1': 195, 'N2': 150, 'N3': 75}  |  有发现章节 82

## Ch120: 山谷的访客——亚莉莎与狼人法师 [2：挑逗和接受]
  [N1/严] 情境L22 短句三连(最长8字): - 挂了通讯。她转过来看着乔治。拍了拍床沿
  [N1/严] 情境L22 短句三连(最长11字): 她把他的手放在自己腰上。他低下头亲了她。这次稳了一点
  [N1/中] 情境L22 短句三连(最长15字): 乔治窘得想找地缝钻进去。她把他的手重新放到正确的位置上。这次他找到了
  [N1/严] 情境L22 短句三连(最长12字): 手指在她的引导下滑进蜜穴。湿润的、温热的。她轻轻吸了一口气
  [N2/严] 情境L22 电报超短句(4字): - 挂了通讯
  [N3/中] 情境L22 电报连发(≤10字×3): - 挂了通讯。她转过来看着乔治。拍了拍床沿
  [N3/中] 情境L22 电报连发(≤10字×3): 他低下头亲了她。这次稳了一点。她的手引导着他的手指
  [D2/中] 情境L23 短对白(4字): 可以动。
  [D6/中] 情境L23 零间隔对话: 真的可以？|嗯，你慢一点。
  [D5/中] 情境L23 5连短对白: 进来。但是——｜最后要拔出来，射外面。｜可以动。｜真的可以？｜嗯，你慢一点。
  [N1/严] 情境L23 短句三连(最长8字): 她的睫毛垂了一下。他点头。肉棒对准了蜜穴口
  [N1/严] 情境L23 短句三连(最长4字): 他看着她。他动了。慢而笨拙
  [N2/严] 情境L23 电报超短句(4字): 慢而笨拙
  [N3/中] 情境L23 电报连发(≤10字×3): 她的睫毛垂了一下。他点头。肉棒对准了蜜穴口
  [N3/中] 情境L23 电报连发(≤10字×3): 他看着她。他动了。慢而笨拙
  [D2/中] 情境L24 短对白(6字): 有点冷...被子。
  [D5/中] 情境L24 3连短对白: 快——快到了——｜对不起，只有这个。｜有点冷...被子。
  [N1/中] 情境L24 短句三连(最长15字): 翻遍了整个工坊只找到一条干净的。他递给她的时候脸红到胸口。她接过毛巾
  [N1/严] 情境L24 短句三连(最长12字): 他的脸更红了。她说。他赶紧把被子拉上来裹住她
  [N1/严] 情境L24 短句三连(最长8字): 她往他那边靠了靠。他僵硬了一瞬间。然后慢慢放松了
  [N2/严] 情境L24 电报超短句(4字): - 他往外退
  [N3/中] 情境L24 电报连发(≤10字×3): 她往他那边靠了靠。他僵硬了一瞬间。然后慢慢放松了
  [N1/中] 情境L25 短句三连(最长19字): - 黎恩推门进来的时候夕阳已经完全落下去了。工坊里只亮着一盏很小的导力灯。行军床上两个人裹在一条薄被里
  [N2/严] 情境L25 电报超短句(4字): 等了很久
  [N1/中] 情境L28 短句三连(最长16字): 嘴角那个弧度是给他的。她在等他来。然后在星光下继续依偎着乔治睡着了
  [D1/严] 核心L30 二字崩(2字): 笨啦
  [D6/中] 核心L30 零间隔对话: 笨啦|那里是屁眼
  [D6/中] 核心L30 零间隔对话: 那里是屁眼|射外面
  [D5/中] 核心L30 3连短对白: 笨啦｜那里是屁眼｜射外面

## Ch310: 矮人之屋的留宿——果酒与按摩 [4：跨线]
  [D2/中] 情境L18 短对白(3字): 成了。
  [D6/中] 情境L19 零间隔对话: 这酒多少度？|矮人说低，对你来说可能不低。
  [D1/严] 情境L20 二字崩(1字): 嗯...
  [D1/严] 情境L20 二字崩(1字): 啊...!
  [D6/中] 情境L20 零间隔对话: 嗯...|就是那里，不要停，嗯...对，对，就是那里~

## Ch315: 清晨的教学——黑丝与主动权 [4：跨线]
  [D1/严] 情境L20 二字崩(1字): 啊...!
  [D5/中] 情境L20 3连短对白: 啊...!｜小亚尔~谁教你的呀？｜菲——
  [D2/中] 情境L22 短对白(5字): 不用道歉。

## Ch321: 半夜敲门——图纸是借口 [4：跨线]
  [D1/严] 情境L14 二字崩(2字): 滚啊~
  [D2/中] 情境L18 短对白(6字): 慢一点进去。
  [D2/中] 情境L18 短对白(6字): 疼就告诉他。
  [D2/中] 情境L18 短对白(3字): ...不疼。
  [D5/中] 情境L18 4连短对白: 慢一点进去。｜嗯——｜疼就告诉他。｜...不疼。
  [D5/中] 情境L19 3连短对白: 啊...嗯...哈啊...｜乔治...要...要到了——｜够了，你先出去。
  [D2/中] 情境L20 短对白(4字): 你讨厌。
  [D2/中] 情境L20 短对白(4字): 我知道。
  [D5/中] 情境L20 3连短对白: 你讨厌。｜...他射在里面了。｜我知道。

## Ch326: 导力器的另一面——视频直播（上） [4：跨线]
  [D1/严] 情境L20 二字崩(2字): ...嗯。
  [D3/中] 情境L20 疑似问句用句号: 那为什么要打视频。
  [D6/中] 情境L20 零间隔对话: 接通了。到了？|...嗯。
  [D6/中] 情境L20 零间隔对话: 你在那边不要一直盯着看。|那为什么要打视频。
  [D5/中] 情境L20 4连短对白: 接通了。到了？｜...嗯。｜你在那边不要一直盯着看。｜那为什么要打视频。
  [N2/严] 情境L20 电报超短句(4字): 耳朵红了
  [D6/中] 情境L21 零间隔对话: 你们什么时候说的？|下午，我去找的他。
  [D5/中] 情境L21 3连短对白: ——要让菲娜满意。｜你们什么时候说的？｜下午，我去找的他。
  [D3/中] 情境L22 疑似问句用句号: 菲娜...你想从哪里开始。
  [D5/中] 情境L22 3连短对白: 开始吧，我在看。｜菲娜...你想从哪里开始。｜你问我我怎么知道...
  [N2/严] 情境L22 电报超短句(2字): - 沉默
  [D3/中] 情境L23 疑似问句用句号: 这样可以吗。
  [D2/中] 情境L23 短对白(6字): 这样可以吗。
  [D1/严] 情境L23 二字崩(1字): 嗯...
  [D6/中] 情境L23 零间隔对话: 这样可以吗。|嗯...
  [N1/严] 情境L23 短句三连(最长9字): 她的呼吸打在他脸上。暖的。他继续
  [N2/严] 情境L23 电报超短句(2字): 暖的
  [N3/中] 情境L23 电报连发(≤10字×3): 她的呼吸打在他脸上。暖的。他继续
  [D3/中] 情境L27 疑似问句用句号: 菲娜，你舒服吗。
  [D6/中] 情境L27 零间隔对话: 菲娜，你舒服吗。|舒服...你——怎么——
  [D5/中] 情境L27 3连短对白: 菲娜，你舒服吗。｜舒服...你——怎么——｜黎恩让我多关心你。
  [N2/严] 情境L27 电报超短句(3字): - 他继续

## Ch332: 次日清晨——夫妻双打 [4：跨线]
  [D2/中] 情境L20 短对白(6字): ...射在里面了。
  [D5/中] 情境L20 3连短对白: 而且最后一次他还——｜你让他自己说。｜...射在里面了。
  [D3/中] 情境L21 疑似问句用句号: 五次里面有四次我没说你什么，第五次我让你拔出去。
  [D2/中] 情境L21 短对白(4字): ...对不起。
  [D2/中] 情境L21 短对白(5字): 道歉留着。
  [D2/中] 情境L21 短对白(4字): 疼不疼。
  [D1/严] 情境L21 二字崩(2字): ...疼。
  [D6/中] 情境L21 零间隔对话: ...对不起。|道歉留着。
  [D6/中] 情境L21 零间隔对话: 疼不疼。|...疼。
  [D6/中] 情境L21 零间隔对话: ...疼。|疼就给我记住，必须要听菲娜的话。
  [D5/中] 情境L21 4连短对白: ...对不起。｜道歉留着。｜疼不疼。｜...疼。
  [D3/中] 情境L22 疑似问句用句号: ...谁死了。
  [D2/中] 情境L22 短对白(4字): ...谁死了。
  [D6/中] 情境L23 零间隔对话: 虽然这次乔治很过分。|但是我刚刚听着很兴奋。
  [D5/中] 情境L23 3连短对白: 虽然这次乔治很过分。｜但是我刚刚听着很兴奋。｜而且这次他也挨打了。
  [D3/中] 情境L24 疑似问句用句号: ...这两个人难道不害臊的吗。
  [D2/中] 情境L24 短对白(5字): 等下我来。
  [D6/中] 情境L24 零间隔对话: 早饭还没收——|等下我来。
  [D5/中] 情境L24 3连短对白: ...这两个人难道不害臊的吗。｜早饭还没收——｜等下我来。
  [N1/严] 情境L24 短句三连(最长10字): - 亚莉莎的叉子停在半空。劳拉的粥勺掉了。艾玛的眼镜滑到鼻尖上
  [N3/中] 情境L24 电报连发(≤10字×3): - 亚莉莎的叉子停在半空。劳拉的粥勺掉了。艾玛的眼镜滑到鼻尖上

## Ch334: 被允许的触碰——她的手心 [4：跨线]
  [D6/中] 情境L14 零间隔对话: 你走吧，这不关你的事。|怎么会不关我的事？
  [D2/中] 情境L15 短对白(6字): 不要可怜我。
  [D2/中] 情境L18 短对白(5字): 当我没说。
  [D6/中] 情境L18 零间隔对话: 当我没说。|我没有拒绝呀。
  [D5/中] 情境L18 4连短对白: 下次，可以让我碰你吗？｜当我没说。｜我没有拒绝呀。｜我只是需要想一想。
  [D2/中] 情境L20 短对白(6字): 她昨晚哭了。
  [D4/中] 情境L20 引号内4个。: 她心软，不会拒绝人。所以这条线我来帮她划。你得先问她。她说停，你就停。
  [D4/中] 情境L20 引号内3个。: 我答应你。我会先问她。她说停，我就停。
  [D4/中] 情境L20 引号内2个。: 茶叶快喝完了。她让我顺便提醒你。

## Ch340: 暖岩石上——他以为她在等 [4：跨线]
  [D4/中] 情境L14 引号内2个。: 艾玛小姐，你的脚不冷吗。丝袜还是湿的吧。
  [D3/中] 情境L14 疑似问句用句号: 艾玛小姐，你的脚不冷吗。丝袜还是湿的吧。
  [D3/中] 情境L14 疑似问句用句号: 艾玛小姐...你是在邀请我上去吗。
  [D4/中] 情境L15 引号内2个。: ...我是说，坐着。坐着聊天。
  [D2/中] 情境L15 短对白(3字): ...你看。
  [D2/中] 情境L15 短对白(4字): ...你留着。
  [D4/中] 情境L15 引号内2个。: ...嗯。留着。
  [D2/中] 情境L15 短对白(5字): ...嗯。留着。
  [D6/中] 情境L15 零间隔对话: ...你留着。|...嗯。留着。
  [D5/中] 情境L15 4连短对白: ...我是说，坐着。坐着聊天。｜...你看。｜...你留着。｜...嗯。留着。
  [D2/中] 情境L16 短对白(5字): 看猎物吧。
  [D4/中] 情境L16 引号内2个。: ...我也想看看。下次雾来的时候叫我。
  [D6/中] 情境L16 零间隔对话: ...卡兹尔。你平时一个人在这里蹲多久？|看猎物吧。

## Ch349: 暴雨巡逻——黄金罗刹的冲锋 [4：跨线]
  [D3/中] 情境L22 疑似问句用句号: 小雨而已，算什么。
  [D6/中] 情境L22 零间隔对话: 小雨而已，算什么。|黎恩，我们赛跑，回木屋，输的人给赢的人打一个月的杂。
  [D6/中] 情境L22 零间隔对话: 校长，注意保护自己，我没事。|我是你的校长。
  [D2/中] 情境L23 短对白(4字): 有点冷。
  [D2/中] 情境L23 短对白(5字): 你发烧了。
  [D5/中] 情境L23 3连短对白: 有点冷。｜你发烧了。｜...嗯，好像是烧了。
  [D1/严] 情境L24 二字崩(2字): 停。
  [D6/中] 情境L24 零间隔对话: 对不起。我应该——|停。

## Ch353: 山洞的导力器——菲娜的注视 [4：跨线]
  [D2/中] 情境L22 短对白(4字): 很舒服。
  [N1/严] 情境L22 短句三连(最长11字): 她仰着头闭着眼靠着石壁。不说话了。在回味
  [N2/严] 情境L22 电报超短句(4字): 不说话了
  [N2/严] 情境L22 电报超短句(3字): 在回味
  [D2/中] 情境L23 短对白(6字): 黎恩，张嘴。
  [D6/中] 情境L24 零间隔对话: 我，不打扰你们了。|菲娜，你不想看吗？
  [D5/中] 情境L24 4连短对白: 因为是我先忍不住的。｜我，不打扰你们了。｜菲娜，你不想看吗？｜不想看黎恩现在的样子吗？
  [N1/严] 情境L24 短句三连(最长4字): 山洞。奥蕾莉亚。互相
  [N1/严] 情境L24 短句三连(最长12字): 脚步声。门关上的声音。然后呼吸声比刚才近了很多
  [N2/严] 情境L24 电报超短句(2字): 山洞
  [N2/严] 情境L24 电报超短句(4字): 奥蕾莉亚
  [N2/严] 情境L24 电报超短句(2字): 互相
  [N2/严] 情境L24 电报超短句(3字): 脚步声
  [N3/中] 情境L24 电报连发(≤10字×3): 山洞。奥蕾莉亚。互相

## Ch355: 山洞的交合——菲娜的远程指挥（下） [4：跨线]
  [N1/中] 情境L20 短句三连(最长15字): 腰重新开始动。这一次不慢了。臀肉拍击大腿的声音在山洞里弹跳
  [D2/中] 情境L21 短对白(5字): 谢谢夸奖。
  [D2/中] 情境L21 短对白(5字): 神清气爽。
  [D6/中] 情境L21 零间隔对话: 谢谢，你的指挥很好。|我不是在——
  [D6/中] 情境L21 零间隔对话: 奥蕾莉亚，你把我家黎恩弄成这样了。|谢谢夸奖。
  [D6/中] 情境L21 零间隔对话: 你们什么时候回来？|雨停了，衣服干了，现在回来。
  [D6/中] 情境L21 零间隔对话: 感冒好了？|嗯，好像从来没来过。
  [D6/中] 情境L21 零间隔对话: 嗯，好像从来没来过。|神清气爽。
  [D5/中] 情境L21 3连短对白: 谢谢夸奖。｜还是菲娜你指挥得好。｜你们什么时候回来？
  [D5/中] 情境L21 3连短对白: 感冒好了？｜嗯，好像从来没来过。｜神清气爽。

## Ch375: 酒后温泉——黄金罗刹的邀请（下） [4：跨线]
  [D1/严] 情境L20 二字崩(2字): 冰焰
  [D5/中] 情境L20 3连短对白: 嗯...灰骑...你看着...｜灰骑——｜冰焰
  [N1/中] 情境L20 短句三连(最长16字): 他在她里面射了。她把额头抵在他肩膀上——喘了几息。然后直起身——紫瞳亮得惊人
  [D5/中] 情境L21 3连短对白: 灰骑，我还没够。｜再用力...嗯...灰骑...你没吃饭吗...｜啊啊...就这里...灰骑...到了——
  [N2/严] 情境L21 电报超短句(4字): - 她没有停
  [D2/中] 情境L22 短对白(3字): 三次。
  [D6/中] 情境L22 零间隔对话: 你...还来？|我什么？
  [D5/中] 情境L22 4连短对白: 灰骑——再来一次。｜你...还来？｜我什么？｜三次。
  [N2/严] 情境L22 电报超短句(4字): - 两轮之后
  [N2/严] 情境L23 电报超短句(2字): - 后来
  [D6/中] 情境L26 零间隔对话: 她被你怎么了？|她被我怎么——是她，
  [N1/中] 情境L26 短句三连(最长16字): 菲娜坐在床上等他——膝盖抱在胸前。她看他那个样子——嘴角翘起来。他说不出完整句子
  [D2/中] 情境L27 短对白(5字): 嗯，你说。
  [D2/中] 情境L27 短对白(5字): 还剩半瓶。
  [D2/中] 情境L27 短对白(5字): 那我赔你。
  [D2/中] 情境L27 短对白(6字): 我去看早餐。
  [D6/中] 情境L27 零间隔对话: 嗯，你说。|那个——冰焰，还剩多少？
  [D6/中] 情境L27 零间隔对话: 那个——冰焰，还剩多少？|还剩半瓶。
  [D6/中] 情境L27 零间隔对话: 我只是来投诉的。|投诉什么？
  [D6/中] 情境L27 零间隔对话: 投诉什么？|投诉你把他榨干了，下次轮到我的时候——他没有了我找你。
  [D5/中] 情境L27 5连短对白: 昨晚的事，我想跟你聊聊。｜嗯，你说。｜那个——冰焰，还剩多少？｜还剩半瓶。｜他早上差点起不来床。
  [N1/中] 情境L27 短句三连(最长16字): 菲娜的耳朵红了——但她没有说不行。奥蕾莉亚收剑。紫瞳看着菲娜——嘴角的弧度变深了
  [N1/中] 情境L27 短句三连(最长16字): 奥蕾莉亚看着她的背影——继续挥剑。节奏没变。但她是笑着挥的
  [N2/严] 情境L27 电报超短句(3字): - 第二天
  [N2/严] 情境L27 电报超短句(4字): 节奏没变

## Ch382: 夜光苔孢子——最后一次（下） [4：跨线]
  [D1/严] 情境L12 二字崩(2字): ...嗯。
  [D2/中] 情境L12 短对白(5字): ...只是放着。
  [D6/中] 情境L12 零间隔对话: ...这是...界限？|...是你的手指在碰我。
  [D6/中] 情境L12 零间隔对话: ...我们说好了...只看雾。|...嗯。
  [D5/中] 情境L12 6连短对白: ...这是...界限？｜...是你的手指在碰我。｜...我们说好了...只看雾。｜...嗯。｜...那你的手...｜...只是放着。
  [D2/中] 情境L13 短对白(5字): ...最后一次。
  [D2/中] 情境L13 短对白(6字): 之后...只看雾。
  [D2/中] 情境L13 短对白(3字): ...看雾。
  [D5/中] 情境L13 3连短对白: ...最后一次。｜之后...只看雾。｜...看雾。
  [D4/中] 情境L14 引号内3个。: 界限未划定。孢子干扰实验条件。需重新采集数据。
  [D1/严] 情境L14 二字崩(1字): 好
  [D1/严] 情境L14 二字崩(2字): 看雾
  [D1/严] 情境L14 二字崩(1字): 好
  [D5/中] 情境L14 4连短对白: 最后一次｜好｜看雾｜好

## Ch393: 艾德里安的下午茶——暴雨中的困局（上） [4：跨线]
  [D2/中] 情境L21 短对白(4字): 我不去。
  [D2/中] 情境L21 短对白(5字): 我也要来。
  [D2/中] 情境L21 短对白(5字): 欢迎欢迎。
  [D6/中] 情境L21 零间隔对话: 玲昨天摆了茶会，我用那套矮人银餐具跟她换了一罐白蜜茶。|我不去。
  [D6/中] 情境L21 零间隔对话: 艾德里安？|下午茶，你家那位说要你陪着才肯来。
  [D6/中] 情境L21 零间隔对话: 好，我早点结束巡逻。|我也要来。
  [D6/中] 情境L21 零间隔对话: 上次艾德里安的茶很好喝。|欢迎欢迎。
  [D5/中] 情境L21 4连短对白: 我不去。｜要黎恩陪我才去。｜巧了，我刚好想打给他。｜艾德里安？
  [D5/中] 情境L21 4连短对白: 好，我早点结束巡逻。｜我也要来。｜上次艾德里安的茶很好喝。｜欢迎欢迎。
  [N2/严] 情境L21 电报超短句(2字): 走吧
  [D2/中] 情境L22 短对白(6字): 你很少夸我。
  [D1/严] 情境L22 二字崩(2字): ——
  [D6/中] 情境L22 零间隔对话: 这茶确实好喝。|你很少夸我。
  [D6/中] 情境L22 零间隔对话: 你觉得这雨也是我搞的鬼？|——
  [D6/中] 情境L22 零间隔对话: ——|我有这个能耐？操控天气？
  [D5/中] 情境L22 6连短对白: 这茶确实好喝。｜你很少夸我。｜夸的是茶，不是你。｜你觉得这雨也是我搞的鬼？｜——｜我有这个能耐？操控天气？
  [D6/中] 情境L23 零间隔对话: 我和菲改方向了，离营地近，注意一点应该能安全到。|本来是反方向，不然能直接去艾德里安家。
  [D6/中] 情境L23 零间隔对话: 你们先回去，路上小心。|到了给你消息。
  [D5/中] 情境L23 3连短对白: 你先保护好自己别感冒。｜你们先回去，路上小心。｜到了给你消息。

## Ch395: 艾德里安的下午茶——暴雨中的困局（下） [4：跨线]
  [D1/严] 情境L21 二字崩(2字): 滚。
  [D6/中] 情境L21 零间隔对话: 带路吧，客房。|二楼左转第三间，床单是新换的。
  [D6/中] 情境L21 零间隔对话: 不要有奇怪的念头。|对我的人品的最大肯定，就是这句警告。
  [N1/严] 情境L21 短句三连(最长9字): - 通讯挂断。客厅重新被雨声填满。菲娜看着窗外
  [N2/严] 情境L21 电报超短句(4字): - 通讯挂断
  [N3/中] 情境L21 电报连发(≤10字×3): - 通讯挂断。客厅重新被雨声填满。菲娜看着窗外
  [D2/中] 情境L22 短对白(5字): 艾德里安。
  [D3/中] 情境L22 疑似问句用句号: 我的床真的很舒服，我什么也不干，每个人睡一边。
  [D2/中] 情境L22 短对白(5字): 我去客房。
  [D6/中] 情境L22 零间隔对话: 你干什么？|这是我的房间。
  [D6/中] 情境L22 零间隔对话: 这是我的房间。|你说客房是这间。
  [D6/中] 情境L22 零间隔对话: 你说客房是这间。|我说的是二楼左转第三间，这间是第二间，我的。
  [D6/中] 情境L22 零间隔对话: 我说的是二楼左转第三间，这间是第二间，我的。|艾德里安。
  [D6/中] 情境L22 零间隔对话: 我的床真的很舒服，我什么也不干，每个人睡一边。|我去客房。
  [D6/中] 情境L22 零间隔对话: 我去客房。|客房的床垫比我这硬，我这个是鹅绒的。
  [D5/中] 情境L22 3连短对白: 你干什么？｜这是我的房间。｜你说客房是这间。
  [D6/中] 情境L23 零间隔对话: 在自己床上打飞机也不许？|在我旁边，当着我的面，趁我睡着的时候。
  [N1/严] 情境L23 短句三连(最长10字): 手握着茎身上下套弄。他的眼睛闭着。是在她睡着后才开始的
  [N1/中] 情境L23 短句三连(最长13字): 菲娜的脸烧起来。黎恩的只比这个大一点。她把这个念头从脑子里甩出去
  [N1/严] 情境L23 短句三连(最长10字): 走到浴室门口停了一步。转头。嘴角弯起来
  [N1/严] 情境L23 短句三连(最长9字): 菲娜把枕头砸了过去。砸在门框上。他已经关上门了
  [N1/中] 情境L23 短句三连(最长15字): 她的脸还是烫的。琥珀色眼睛瞪着那扇关上的浴室门。他没有锁
  [N2/严] 情境L23 电报超短句(2字): 转头
  [N3/中] 情境L23 电报连发(≤10字×3): 手握着茎身上下套弄。他的眼睛闭着。是在她睡着后才开始的
  [N3/中] 情境L23 电报连发(≤10字×3): 走到浴室门口停了一步。转头。嘴角弯起来
  [N3/中] 情境L23 电报连发(≤10字×3): 菲娜把枕头砸了过去。砸在门框上。他已经关上门了
  [N1/中] 章节终止条件L32 短句三连(最长18字): 2.菲娜被他在旁边自慰的声音吵醒。她翻身看见他的肉棒露在外面手握着套弄。她踢开被子坐起来阻止

## Ch399: 玫瑰与烛光——浪子的初夜（下） [4：跨线]
  [D2/中] 情境L21 短对白(6字): 原来在这里。
  [D2/中] 情境L21 短对白(6字): 好的，遵命。
  [D6/中] 情境L21 零间隔对话: 菲娜，你知道你现在在做什么吗？|闭——嘴——
  [D1/严] 情境L23 二字崩(2字): 笨。
  [D2/中] 情境L23 短对白(5字): 是挺笨的。
  [D6/中] 情境L23 零间隔对话: 准备了很久，从第一次在坐骑上见到你那天就开始想了。|玫瑰花瓣排了好几遍吧？
  [D6/中] 情境L23 零间隔对话: 玫瑰花瓣排了好几遍吧？|三遍，第一遍排歪了，第二遍被风吹散了，窗户忘了关。
  [D6/中] 情境L23 零间隔对话: 笨。|是挺笨的。
  [N1/严] 情境L23 短句三连(最长11字): - 蜡烛烧到了底。她的声音在暗处响起来。他在暗处轻轻呼了一口气
  [N1/中] 情境L24 短句三连(最长19字): 两人在走廊上对看了一眼。黎恩的青紫瞳里有血丝——心痒痒了一晚上。菲娜还在睡
  [N1/中] 情境L24 短句三连(最长14字): 但黎恩马上要把这份清爽弄脏了。艾德里安识趣地给他们锁上了门。咔哒
  [N1/严] 情境L26 短句三连(最长12字): 回去的路上菲娜一直没说话。黎恩问她感受。她脸红不说话
  [N1/严] 情境L26 短句三连(最长7字): 走了好久才开口。声音很小。黎恩收紧手臂
  [N2/严] 情境L26 电报超短句(4字): 声音很小
  [N3/中] 情境L26 电报连发(≤10字×3): 黎恩问她感受。她脸红不说话。走了好久才开口
  [N3/中] 情境L26 电报连发(≤10字×3): 声音很小。黎恩收紧手臂。他没法不笑

## Ch400: 弯腰的弧度——乔治的笔掉了 [5：享受和掌控]
  [D3/中] 情境L22 疑似问句用句号: ...什么条件。
  [D2/中] 情境L22 短对白(5字): ...什么条件。
  [D2/中] 情境L22 短对白(5字): 还没想好。
  [D6/中] 情境L22 零间隔对话: ...什么条件。|还没想好。
  [D5/中] 情境L22 3连短对白: 你必须答应我一个条件｜...什么条件。｜还没想好。
  [D2/中] 情境L23 短对白(5字): 还没想好。
  [D2/中] 情境L23 短对白(6字): 让他先欠着。
  [D1/严] 核心L28 二字崩(2字): 活该

## Ch417: 艾德里安的从容——浪子的本番 [5：享受和掌控]
  [N2/严] 情境L23 电报超短句(3字): - 门关上
  [D2/中] 情境L25 短对白(5字): 但是好爽。
  [D5/中] 情境L25 3连短对白: 守护者在休息。｜感觉又被强奸了。｜但是好爽。

## Ch423: 地下日记·牛头人的契约——另一道蹄音（上） [5：享受和掌控]
  [N2/严] 情境L11 电报超短句(3字): 那是疼
  [N2/严] 情境L12 电报超短句(4字): - 他站住了

## Ch427: 鳞甲的颜色——意外进入（下） [5：享受和掌控]
  [N1/严] 情境L22 短句三连(最长1字): - 啪。啪。啪
  [N2/严] 情境L22 电报超短句(1字): - 啪
  [N3/中] 情境L22 电报连发(≤10字×3): - 啪。啪。啪
  [D2/中] 情境L23 短对白(3字): ...艾玛。
  [D1/严] 情境L24 二字崩(2字): ...刚才...
  [D1/严] 情境L24 二字崩(2字): ...嗯。
  [D2/中] 情境L24 短对白(4字): ...是意外。
  [D1/严] 情境L24 二字崩(2字): ...还挺...
  [D6/中] 情境L24 零间隔对话: ...嗯。|...是意外。
  [D5/中] 情境L24 4连短对白: ...刚才...｜...嗯。｜...是意外。｜...还挺...
  [D1/严] 情境L25 二字崩(2字): 昨晚
  [D1/严] 情境L25 二字崩(2字): 意外
  [D1/严] 情境L25 二字崩(2字): 还挺
  [D2/中] 情境L25 短对白(3字): ...艾玛。
  [D1/严] 情境L25 二字崩(2字): ...嗯。
  [D4/中] 情境L25 引号内5个。: 卡兹尔。猎人。逆鳞在腰侧左侧第三片，他说不疼。猎人不说假话。尾巴搭脚踝，凉鳞甲，暖脉搏。
  [D6/中] 情境L25 零间隔对话: ...艾玛。|...嗯。
  [D5/中] 情境L25 6连短对白: 昨晚｜意外｜还挺｜...艾玛。｜...嗯。｜...猎人会记得你走过的路。
  [D1/严] 核心L28 二字崩(2字): 还挺
  [D1/严] 章节终止条件L31 二字崩(2字): 还挺

## Ch428: 告诉法林——她说了（上） [5：享受和掌控]
  [N2/严] 情境L11 电报超短句(4字): 刻刀停了
  [D4/中] 情境L14 引号内2个。: 我们...我们两个都不是故意的。真的是意外。我在暖岩石上滑倒了，他接我，然后...
  [D4/中] 情境L15 引号内2个。: ...猎人画圈。矮人也画。
  [D3/中] 情境L15 疑似问句用句号: 生什么气。
  [D2/中] 情境L15 短对白(5字): 生什么气。
  [D2/中] 情境L15 短对白(4字): 是意外。
  [D4/中] 情境L15 引号内3个。: 你刚才说了五遍'意外'。猎人说了两遍...至少。我相信他。
  [D2/中] 情境L15 短对白(4字): 你认识。
  [D4/中] 情境L15 引号内2个。: 你刚才说了一个多小时的话，每一句都在帮他解释'他不是故意的'。比帮你自己的论文答辩还认真。
  [D6/中] 情境L15 零间隔对话: ...你...你不生气？|生什么气。
  [D6/中] 情境L15 零间隔对话: 生什么气。|我...我跟别人...虽然不是故意的...但...
  [D6/中] 情境L15 零间隔对话: 我...我跟别人...虽然不是故意的...但...|是意外。
  [D6/中] 情境L15 零间隔对话: 你刚才说了五遍'意外'。猎人说了两遍...至少。我相信他。|...你都不认识他——
  [D6/中] 情境L15 零间隔对话: ...你都不认识他——|你认识。
  [D5/中] 情境L15 3连短对白: ...猎人画圈。矮人也画。｜...你...你不生气？｜生什么气。
  [N1/严] 情境L15 短句三连(最长8字): - 符文室安静了很久。然后法林动了。他把她的手翻过来
  [N1/中] 情境L15 短句三连(最长14字): 他的食指在她掌心里画了一个圈。她的睫毛上还挂着泪。法林说
  [N2/严] 情境L15 电报超短句(3字): 法林说
  [N3/中] 情境L15 电报连发(≤10字×3): - 符文室安静了很久。然后法林动了。他把她的手翻过来
  [D4/中] 情境L16 引号内2个。: 你回来了。而且你告诉我了。
  [D6/中] 情境L16 零间隔对话: 艾玛。你知道我为什么是符文工匠。符文会碎。石头会裂。意外每天都发生。刻错了重来，裂了换一块。真正重要的只有一件事。|你回来了。而且你告诉我了。
  [N1/严] 情境L16 短句三连(最长8字): - 她把脸埋进手掌里。耳朵从粉变成红。法林捻了她的辫梢
  [N3/中] 情境L16 电报连发(≤10字×3): - 她把脸埋进手掌里。耳朵从粉变成红。法林捻了她的辫梢
  [D6/中] 章节终止条件L20 零间隔对话: 猎人画圈矮人也画|是意外

## Ch429: 告诉法林——她说了（下） [5：享受和掌控]
  [D3/中] 情境L11 疑似问句用句号: 以后什么。
  [D2/中] 情境L11 短对白(5字): 以后什么。
  [D3/中] 情境L11 疑似问句用句号: 那你有什么好怕的。
  [D6/中] 情境L11 零间隔对话: ...你不怕我...以后...|以后什么。
  [D6/中] 情境L11 零间隔对话: 以后什么。|...你不怕我以后还会——
  [D6/中] 情境L11 零间隔对话: ...你不怕我以后还会——|你会吗？
  [D6/中] 情境L11 零间隔对话: 你会吗？|...不会！当然不会！！
  [D5/中] 情境L11 7连短对白: ...你不怕我...以后...｜以后什么。｜...你不怕我以后还会——｜你会吗？｜...不会！当然不会！！｜你怎么能问这个｜那你有什么好怕的。
  [D2/中] 情境L12 短对白(3字): 不过。
