[DRY-RUN] 预览重编号变更

[renumber] 扫描章节目录...
  发现 892 个事件 (分布在 9 个章节)

  [DRY-RUN] 525 个事件将重编号:
    367 (小数插入) → 368  [4：跨线] 367.1：古卷的缺环——书房里的推衍.TXT
    701 → 709  [6：放纵] 701：紫色丝袜的轮番——蹭蹭就进去（下）.TXT
    702 → 710  [6：放纵] 702：老手的从容——主动口交.TXT
    703 → 711  [6：放纵] 703：林缘的伏击——预警装置的熄灭.TXT
    704 → 712  [6：放纵] 704：自由探索——营地的傍晚.TXT
    705 → 713  [6：放纵] 705：温泉夜话——菲娜与奥蕾莉亚.TXT
    706 → 714  [6：放纵] 706：桌下之手再现——从容的隐奸.TXT
    707 → 715  [6：放纵] 707：矮人棋与笑声——休息日的游戏.TXT
    708 → 716  [6：放纵] 708：全裸观淫——菊穴的善意应允（上）.TXT
    709 → 717  [6：放纵] 709：全裸观淫——菊穴的善意应允（下）.TXT
    710 → 718  [6：放纵] 710：自由探索——篝火边的夜晚.TXT
    711 → 719  [6：放纵] 711：桌下之口再现——老手的隐奸.TXT
    712 → 720  [6：放纵] 712：护甲的例行检查——雷恩与乔治.TXT
    713 → 721  [6：放纵] 713：最后的边界——肛交与最深处的暖.TXT
    714 → 722  [6：放纵] 714：凯尔的邀请——河边的先斩后奏.TXT
    715 → 723  [6：放纵] 715：自由探索——林间空地的午后.TXT
    716 → 724  [6：放纵] 716：轮流肛交——不干小穴的约定.TXT
    717 → 725  [6：放纵] 717：一次不够——凯尔的极限.TXT
    718 → 726  [6：放纵] 718：森林边缘的野莓——爱丽榭与亚尔缇娜.TXT
    719 → 727  [6：放纵] 719：暮色里的通讯——暖岩石上的意外（上）.TXT
    720 → 728  [6：放纵] 720：暮色里的通讯——暖岩石上的意外（中）.TXT
    721 → 729  [6：放纵] 721：暮色里的通讯——暖岩石上的意外（下）.TXT
    722 → 730  [6：放纵] 722：雾里的手——银流河边的失踪.TXT
    723 → 731  [6：放纵] 723：暴雨里的古树——雨声盖过了拒绝（上）.TXT
    724 → 732  [6：放纵] 724：暴雨里的古树——雨声盖过了拒绝（下）.TXT
    725 → 733  [6：放纵] 725：自由探索——雨后的营地.TXT
    726 → 734  [6：放纵] 726：兽群压境——银流河畔的夜袭.TXT
    727 → 735  [6：放纵] 727：心木废墟的狼王——影牙兽首领.TXT
    728 → 736  [6：放纵] 728：矮人的回礼——她被舔的第一次（上）.TXT
    729 → 737  [6：放纵] 729：矮人的回礼——她被舔的第一次（下）.TXT
    730 → 738  [6：放纵] 730：深夜书房——亚尔缇娜与菲.TXT
    731 → 739  [6：放纵] 731：双管齐下——双重内射的巅峰.TXT
    732 → 740  [6：放纵] 732：自由探索——溪水边的午后.TXT
    733 → 741  [6：放纵] 733：多尔金的最后一批——兵器与誓言.TXT
    734 → 742  [6：放纵] 734：前哨的灯——失守与夺回.TXT
    735 → 743  [6：放纵] 735：两个人的夜晚——劳拉与雷恩.TXT
    736 → 744  [6：放纵] 736：全部告诉你——法林温柔的原谅与告白.TXT
    737 → 745  [6：放纵] 737：石壁上的字——Thalion的留言.TXT
    738 → 746  [6：放纵] 738：自由探索——营地的傍晚.TXT
    739 → 747  [6：放纵] 739：归还——心跳的证明.TXT
    740 → 748  [6：放纵] 740：两个人的沉默——雷恩背后.TXT
    741 → 749  [6：放纵] 741：晨光中的醒酒汤——劳拉与雷恩.TXT
    742 → 750  [6：放纵] 742：通话中的忍耐——压住娇喘的隐奸.TXT
    743 → 751  [6：放纵] 743：晨光里的两次挥剑——奥蕾莉亚与菲.TXT
    744 → 752  [6：放纵] 744：石殿的灯——决战前的整备.TXT
    745 → 753  [6：放纵] 745：自由探索——石殿外的午后.TXT
    746 → 754  [6：放纵] 746：书房的加时赛——黑丝与两个人的夜晚（上）.TXT
    747 → 755  [6：放纵] 747：书房的加时赛——黑丝与两个人的夜晚（下）.TXT
    748 → 756  [6：放纵] 748：导力器的保养课——亚莉莎与玲.TXT
    749 → 757  [6：放纵] 749：三兄弟的盛宴——群交轮奸的顶点（上）.TXT
    750 → 758  [6：放纵] 750：三兄弟的盛宴——群交轮奸的顶点（下）.TXT
    751 → 759  [6：放纵] 751：温泉——他在那边.TXT
    752 → 760  [6：放纵] 752：自由探索——花田边缘的午后.TXT
    753 → 761  [6：放纵] 753：腿间的净化——低语者的解脱.TXT
    754 → 762  [6：放纵] 754：腐化迷雾——半梦半醒的交叉.TXT
    755 → 763  [6：放纵] 755：黑暗中的她——乳交.TXT
    756 → 764  [6：放纵] 756：茶会之后——第二次失控.TXT
    757 → 765  [6：放纵] 757：自由探索——银流河畔的深夜.TXT
    758 → 766  [6：放纵] 758：塔楼上的银发——最后一瞥.TXT
    759 → 767  [6：放纵] 759：VII班的秘密——同伴的对话.TXT
    760 → 768  [6：放纵] 760：低语者的极限——轮奸.TXT
    761 → 769  [6：放纵] 761：圣光之谷——乳交.TXT
    762 → 770  [7：终局] 762：洗干净的回归——终局之前.TXT
    763 → 771  [7：终局] 763：终局之前的夜晚——四个人的篝火.TXT
    764 → 772  [7：终局] 764：她的情书——独属于两人的完整性爱.TXT
    765 → 773  [7：终局] 765：终极战斗准备——与Thalion的最终对质前夕.TXT
    766 → 774  [7：终局] 766：最后的戒指——艾斯特雷亚的鸢尾花.TXT
    767 → 775  [7：终局] 767：劳拉的守夜——亚尔赛德的仪式.TXT
    768 → 776  [7：终局] 768：玲与"天使"——过去的对峙.TXT
    769 → 777  [7：终局] 769：爱丽榭的最后晚餐——所有人的菜.TXT
    770 → 778  [7：终局] 770：凯尔的笔记本——给"之后".TXT
    771 → 779  [7：终局] 771：黎明的集结——五族的誓师.TXT
    772 → 780  [7：终局] 772：三路并进——五族的战场.TXT
    773 → 781  [7：终局] 773：三岔路口——菲娜独自走向墓室.TXT
    774 → 782  [7：终局] 774：守护者的安息——以身为渡.TXT
    775 → 783  [7：终局] 775：菲娜的眼泪——守护者的安息之后.TXT
    776 → 784  [7：终局] 776：同一件正装——断誓厅的对峙.TXT
    777 → 785  [7：终局] 777：劳拉立于Thalion殿前——另一把剑.TXT
    778 → 786  [7：终局] 778：你决定保护——Thalion的真相.TXT
    779 → 787  [7：终局] 779：握把之外——Thalion的最后选择.TXT
    780 → 788  [7：终局] 780：腐化退去——五族的黎明.TXT
    781 → 789  [7：终局] 781：辛苦了——她告诉了他.TXT
    782 → 790  [8：后日谈] 782：雾帷散后——看不见的路.TXT
    783 → 791  [8：后日谈] 783：不方便的视频——踩到蘑菇了.TXT
    784 → 792  [8：后日谈] 784：晨光里的森林——两个人的安静.TXT
    785 → 793  [8：后日谈] 785：门外的声音——腿交隐奸（上）.TXT
    786 → 794  [8：后日谈] 786：门外的声音——腿交隐奸（下）.TXT
    787 → 795  [8：后日谈] 787：自由探索——艾尔多利亚的晨间.TXT
    788 → 796  [8：后日谈] 788：数字与花瓣——两种语言.TXT
    789 → 797  [8：后日谈] 789：篝火燃尽时——口交隐奸.TXT
    790 → 798  [8：后日谈] 790：足下的发现——满月之秘.TXT
    791 → 799  [8：后日谈] 791：满月之夜——狼人的后门（上）.TXT
    792 → 800  [8：后日谈] 792：满月之夜——狼人的后门（下）.TXT
    793 → 801  [8：后日谈] 793：自由探索——艾尔多利亚的午后.TXT
    794 → 802  [8：后日谈] 794：两个男人——黄金罗刹的男人们.TXT
    795 → 803  [8：后日谈] 795：腿间的缝隙——第一次进入.TXT
    796 → 804  [8：后日谈] 796：告发——夫妻双打.TXT
    797 → 805  [8：后日谈] 797：山谷的物资——不是路过.TXT
    798 → 806  [8：后日谈] 798：自由探索——温泉石阶的傍晚.TXT
    799 → 807  [8：后日谈] 799：温柔的净化——另一种安详.TXT
    800 → 808  [8：后日谈] 800：月光百合的约定——亚莉莎与狼人法师Ⅰ.TXT
    801 → 809  [8：后日谈] 801：战后的第一场对决——沼泽的剑.TXT
    802 → 810  [8：后日谈] 802：决定——从纸面到地面.TXT
    803 → 811  [8：后日谈] 803：自由探索——艾尔多利亚的深夜.TXT
    804 → 812  [8：后日谈] 804：满月双人——狼首与灰骑.TXT
    805 → 813  [8：后日谈] 805：剑与鳞的黄昏——奥蕾莉亚与蜥蜴战士Ⅰ.TXT
    806 → 814  [8：后日谈] 806：不是因为满月——亚莉莎与狼人法师Ⅱ.TXT
    807 → 815  [8：后日谈] 807：鳞片下的温度——倒木上的探索.TXT
    808 → 816  [8：后日谈] 808：自由探索——木屋门廊的午后.TXT
    809 → 817  [8：后日谈] 809：主动的腰——不是因为满月.TXT
    810 → 818  [8：后日谈] 810：温泉的全部位——黄金罗刹的骄傲.TXT
    811 → 819  [8：后日谈] 811：主动的腰——蜜穴的慈悲.TXT
    812 → 820  [8：后日谈] 812：两个人的评价——亚莉莎也知道了.TXT
    813 → 821  [8：后日谈] 813：自由探索——艾尔多利亚的黎明.TXT
    814 → 822  [8：后日谈] 814：鳞甲的味道——奥蕾莉亚与蜥蜴战士Ⅱ.TXT
    815 → 823  [8：后日谈] 815：她的恶作剧——猜猜我在哪.TXT
    816 → 824  [8：后日谈] 816：玲的坦白——天使的碎片.TXT
    817 → 825  [8：后日谈] 817：玲的终局——游戏本番.TXT
    818 → 826  [8：后日谈] 818：自由探索——林间空地的余韵.TXT
    819 → 827  [8：后日谈] 819：暖岩石上的回访——营地来客.TXT
    820 → 828  [8：后日谈] 820：温柔的正面——亚莉莎与狼人法师Ⅲ.TXT
    821 → 829  [8：后日谈] 821：书房的惯例——两个人的早晨.TXT
    822 → 830  [8：后日谈] 822：甜蜜的确认——只有你一个人.TXT
    823 → 831  [8：后日谈] 823：自由探索——密林小径的晨间.TXT
    824 → 832  [8：后日谈] 824：河上游的矿石——两个人的野外.TXT
    825 → 833  [8：后日谈] 825：轮奸净化——淫荡的救赎.TXT
    826 → 834  [8：后日谈] 826：菲娜的散步——森林的新生.TXT
    827 → 835  [8：后日谈] 827：自由探索——木屋门廊的深夜.TXT
    828 → 836  [8：后日谈] 828：活着——十四年后的第一句话（上）.TXT
    829 → 837  [8：后日谈] 829：活着——十四年后的第一句话（下）.TXT
    830 → 838  [8：后日谈] 830：一百二十次心跳——十四年的账本.TXT
    831 → 839  [8：后日谈] 831：营地的门——上来的人.TXT
    832 → 840  [8：后日谈] 832：篝火边的两个人——玲的自我介绍.TXT
    833 → 841  [8：后日谈] 833：自由探索——菜地藤架旁的傍晚.TXT
    834 → 842  [8：后日谈] 834：晚上的约定——日常的延续.TXT
    835 → 843  [8：后日谈] 835：地下的视角——裂隙的另一面.TXT
    836 → 844  [8：后日谈] 836：家人的晚餐——她的女儿们.TXT
    837 → 845  [8：后日谈] 837：工具间的轮——修东西的代价.TXT
    838 → 846  [8：后日谈] 838：自由探索——图书室窗边的午后.TXT
    839 → 847  [8：后日谈] 839：鳞与剑的夜晚——奥蕾莉亚与蜥蜴战士Ⅲ.TXT
    840 → 848  [8：后日谈] 840：我也要——菲娜姐姐的秘密.TXT
    841 → 849  [8：后日谈] 841：裂隙的频率——导力通讯跨过门.TXT
    842 → 850  [8：后日谈] 842：鳞片与符文——破译.TXT
    843 → 851  [8：后日谈] 843：封印语的钥匙——门需要两种语言.TXT
    844 → 852  [8：后日谈] 844：自由探索——训练场边的余波.TXT
    845 → 853  [8：后日谈] 845：工坊突袭——冷锻台上的坦白.TXT
    846 → 854  [8：后日谈] 846：满月下的完整——亚莉莎与狼人法师Ⅳ.TXT
    847 → 855  [8：后日谈] 847：两个人的挑战——黄金罗刹终于趴下.TXT
    848 → 856  [8：后日谈] 848：最后的酒——醉后的放肆.TXT
    849 → 857  [8：后日谈] 849：三个人——满足不了我.TXT
    850 → 858  [8：后日谈] 850：大鸡巴崇拜——主动的羞耻.TXT
    851 → 859  [8：后日谈] 851：自由探索——厨房热气里的傍晚.TXT
    852 → 860  [8：后日谈] 852：门开了——第一条回家的路.TXT
    853 → 861  [8：后日谈] 853：镰刀上的第三个符文——玲的改良.TXT
    854 → 862  [8：后日谈] 854：满月夜的狼尾巴——菲娜的好奇心（上）.TXT
    855 → 863  [8：后日谈] 855：满月夜的狼尾巴——菲娜的好奇心（下）.TXT
    856 → 864  [8：后日谈] 856：月光下的鳞甲——他的语言.TXT
    857 → 865  [8：后日谈] 857：导力护盾的矮人骨架——乔治与哈根.TXT
    858 → 866  [8：后日谈] 858：自由探索——银塔广场的余韵.TXT
    859 → 867  [8：后日谈] 859：深夜的矮人小屋——沉默与嘴碎的二重奏（上）.TXT
    860 → 868  [8：后日谈] 860：深夜的矮人小屋——沉默与嘴碎的二重奏（下）.TXT
    861 → 869  [8：后日谈] 861：导力器那边——多尔金的手没停.TXT
    862 → 870  [8：后日谈] 862：出发——对面也是家（上）.TXT
    863 → 871  [8：后日谈] 863：出发——裂隙开着（下）.TXT
    864 → 872  [8：后日谈] 864：不算什么——干的是屁眼又不是小穴.TXT
    865 → 873  [8：后日谈] 865：只属于一个人的夜晚——黑丝的小脚.TXT
    866 → 874  [8：后日谈] 866：自由探索——溪流石阶旁的午后.TXT
    867 → 875  [8：后日谈] 867：夜光苔的季节——下雪了.TXT
    868 → 876  [8：后日谈] 868：工坊的灯——她没走.TXT
    869 → 877  [8：后日谈] 869：乔治的房间——关了灯之后.TXT
    870 → 878  [8：后日谈] 870：工程师的早晨——她留下吃了早餐.TXT
    871 → 879  [8：后日谈] 871：跳蛋购物——月光石（上）.TXT
    872 → 880  [8：后日谈] 872：跳蛋购物——月光石（下）.TXT
    873 → 881  [8：后日谈] 873：宴会的余温——大胆侵犯.TXT
    874 → 882  [8：后日谈] 874：自由探索——训练场边的晨间.TXT
    875 → 883  [8：后日谈] 875：双人份的剑士——两张嘴.TXT
    876 → 884  [8：后日谈] 876：拿你没办法的夜晚——亚莉莎与狼人法师Ⅴ.TXT
    877 → 885  [8：后日谈] 877：剑士的失算——反正也和他做过了（上）.TXT
    878 → 886  [8：后日谈] 878：剑士的失算——反正也和他做过了（下）.TXT
    879 → 887  [8：后日谈] 879：自由探索——艾尔多利亚的深夜.TXT
    880 → 888  [8：后日谈] 880：终章余韵——符文室里的长夜.TXT
    881 → 889  [8：后日谈] 881：不需要说话的人——安静的午后.TXT
    882 → 890  [8：后日谈] 882：五人的夜——轮流与共享（上）.TXT
    883 → 891  [8：后日谈] 883：五人的夜——轮流与共享（下）.TXT
    884 → 892  [8：后日谈] 884：自由探索——艾尔多利亚的日常.TXT

[DRY-RUN] 以上为预览，未实际修改任何文件。
  运行 python scripts/renumber_events.py 执行。
